symbol,old_sector,new_sector
A,Health Care,Golf
AAP,Consumer Discretionary,Golf
AAPL,Information Technology,Golf
ABC,Health Care,Kilo
ABT,Health Care,Alpha
ACN,Information Technology,India
ADBE,Information Technology,Golf
ADI,Information Technology,Alpha
ADM,Consumer Staples,India
ADP,Information Technology,Alpha
ADS,Information Technology,Alpha
AEE,Utilities,Alpha
AEP,Utilities,Alpha
AES,Utilities,Golf
AGN,Health Care,Alpha
AIG,Financials,Alpha
AJG,Financials,Alpha
AKAM,Information Technology,Golf
ALGN,Health Care,Golf
ALK,Industrials,Golf
ALL,Financials,Alpha
ALXN,Health Care,Alpha
AMAT,Information Technology,Golf
AMD,Information Technology,Lima
AME,Industrials,Golf
AMG,Financials,Delta
AMGN,Health Care,Golf
AMZN,Consumer Discretionary,Lima
ANTM,Health Care,India
AON,Financials,Alpha
AOS,Industrials,Golf
APC,Energy,Delta
APD,Materials,Golf
APH,Information Technology,Golf
APTV,Consumer Discretionary,Golf
ARE,Real Estate,Golf
ATVI,Information Technology,Golf
AVB,Real Estate,Golf
AVGO,Information Technology,Golf
AVY,Materials,Golf
AWK,Utilities,Golf
AXP,Financials,Alpha
AYI,Industrials,Golf
AZO,Consumer Discretionary,Mike
BA,Industrials,Golf
BAC,Financials,Alpha
BAX,Health Care,Golf
BBT,Financials,Alpha
BBY,Consumer Discretionary,Hotel
BDX,Health Care,Alpha
BEN,Financials,Golf
BIIB,Health Care,Golf
BK,Financials,Alpha
BKNG,Consumer Discretionary,Foxtrot
BLL,Materials,Golf
BRK.B,Financials,Alpha
BSX,Health Care,Golf
BWA,Consumer Discretionary,Golf
BXP,Real Estate,Golf
C,Financials,Alpha
CAH,Health Care,Kilo
CAT,Industrials,Golf
CB,Financials,Alpha
CBOE,Financials,Alpha
CCI,Real Estate,Golf
CCL,Consumer Discretionary,Golf
CDNS,Information Technology,Lima
CERN,Health Care,Golf
CF,Materials,Golf
CHD,Consumer Staples,Golf
CHTR,Consumer Discretionary,Golf
CI,Health Care,Alpha
CINF,Financials,Alpha
CL,Consumer Staples,Mike
CLX,Consumer Staples,Mike
CMA,Financials,Alpha
CMCSA,Consumer Discretionary,Golf
